symbol,id,orderId,side,price,qty,realizedPnl,quoteQty,commission,commissionAsset,time,positionSide,buyer,maker,Market
POLUSDT,4843712,120658389,SELL,0.3267000,151,0,49.3317000,0.00986634,USDT,26-10-2024 17:41:51,SHORT,False,True,FUM
POLUSDT,4851419,120802964,BUY,0.3300000,151,-0.49830000,49.8300000,0.02491500,USDT,26-10-2024 20:29:08,SHORT,True,False,FUM
POLUSDT,5080931,127578189,SELL,0.3356000,142,0,47.6552000,0.00953103,USDT,29-10-2024 06:21:27,SHORT,False,True,FUM
POLUSDT,5098060,127608214,BUY,0.3319000,142,0.52540000,47.1298000,0.02356490,USDT,29-10-2024 07:16:44,SHORT,True,False,FUM
POLUSDT,5301330,129766083,BUY,0.3269000,156,0,50.9964000,0.01019928,USDT,31-10-2024 06:33:53,LONG,True,True,FUM
POLUSDT,5308481,132485710,SELL,0.3237000,156,-0.49920000,50.4972000,0.02524860,USDT,31-10-2024 08:28:25,LONG,False,False,FUM
POLUSDT,5406535,135096280,BUY,0.3132000,6,0,1.8792000,0.00037584,USDT,01-11-2024 07:10:47,LONG,True,True,FUM
POLUSDT,5406550,135096280,BUY,0.3132000,151,0,47.2932000,0.00945864,USDT,01-11-2024 07:10:48,LONG,True,True,FUM
POLUSDT,5409575,135302494,SELL,0.3141000,39,0.03510000,12.2499000,0.00612495,USDT,01-11-2024 07:27:50,LONG,False,False,FUM
POLUSDT,5417890,135243641,SELL,0.3181000,118,0.57820000,37.5358000,0.01876790,USDT,01-11-2024 09:39:41,LONG,False,False,FUM
POLUSDT,5770211,143378990,BUY,0.2966000,166,0,49.2356000,0.00984711,USDT,04-11-2024 13:56:56,LONG,True,True,FUM
POLUSDT,5777155,147942833,SELL,0.2946900,166,-0.31706000,48.9185400,0.02445927,USDT,04-11-2024 14:33:21,LONG,False,False,FUM
POLUSDT,5894409,149887011,SELL,0.2990100,168,0,50.2336800,0.01004673,USDT,05-11-2024 08:46:08,SHORT,False,True,FUM
POLUSDT,5909205,152248720,BUY,0.3008600,168,-0.31080000,50.5444800,0.02527224,USDT,05-11-2024 12:40:48,SHORT,True,False,FUM
POLUSDT,8251791,202423311,SELL,0.4288000,100,0,42.8800000,0.00857600,USDT,11-11-2024 23:50:51,SHORT,False,True,FUM
POLUSDT,8259405,203270605,BUY,0.4239900,75,0.36075000,31.7992500,0.00635985,USDT,12-11-2024 00:06:51,SHORT,True,True,FUM
POLUSDT,8265758,203138072,BUY,0.4180800,25,0.26800000,10.4520000,0.00522600,USDT,12-11-2024 00:18:31,SHORT,True,False,FUM
POLUSDT,8628177,202417965,BUY,0.3867000,103,0,39.8301000,0.00796602,USDT,12-11-2024 13:02:45,LONG,True,True,FUM
POLUSDT,8659363,210236721,SELL,0.3832400,103,-0.35638000,39.4737200,0.01973685,USDT,12-11-2024 13:49:39,LONG,False,False,FUM
POLUSDT,8944832,202435942,BUY,0.3791200,113,0,42.8405600,0.00856811,USDT,13-11-2024 03:45:13,LONG,True,True,FUM
POLUSDT,8950076,217637878,SELL,0.3790700,113,-0.00565000,42.8349100,0.02141745,USDT,13-11-2024 03:58:23,LONG,False,False,FUM
POLUSDT,8950971,217720231,BUY,0.3786600,113,0,42.7885800,0.02139429,USDT,13-11-2024 03:59:38,LONG,True,False,FUM
POLUSDT,8956158,217827844,SELL,0.3836200,56,0.27776000,21.4827200,0.01074136,USDT,13-11-2024 04:11:13,LONG,False,False,FUM
POLUSDT,8961754,217874970,SELL,0.3806600,57,0.11400000,21.6976200,0.01084881,USDT,13-11-2024 04:26:04,LONG,False,False,FUM
POLUSDT,9030219,218230605,BUY,0.3614600,117,0,42.2908200,0.00845816,USDT,13-11-2024 06:36:07,LONG,True,True,FUM
POLUSDT,9039812,219415695,SELL,0.3650500,58,0.20822000,21.1729000,0.00423458,USDT,13-11-2024 06:53:47,LONG,False,True,FUM
POLUSDT,9040059,219465886,SELL,0.3656100,59,0.24485000,21.5709900,0.01078549,USDT,13-11-2024 06:54:38,LONG,False,False,FUM
POLUSDT,10305723,238417412,SELL,0.3853700,129,0,49.7127300,0.00994254,USDT,16-11-2024 07:32:15,SHORT,False,True,FUM
POLUSDT,10311528,245439640,BUY,0.3877400,129,-0.30573000,50.0184600,0.02500923,USDT,16-11-2024 07:35:19,SHORT,True,False,FUM
POLUSDT,37758832,849035864,SELL,0.5033300,98,0,49.3263400,0.00986526,USDT,03-01-2025 11:38:19,SHORT,True,False,FUM
POLUSDT,37773419,852670255,BUY,0.5064600,98,-0.30674000,49.6330800,0.02481654,USDT,03-01-2025 12:29:46,SHORT,False,True,FUM
POLUSDT,44785972,1106401214,BUY,0.4234300,88,0,37.2618400,0.00745236,USDT,27-01-2025 01:14:08,LONG,True,True,FUM
POLUSDT,44799003,1108702770,SELL,0.4283900,88,0.43648000,37.6983200,0.01884916,USDT,27-01-2025 01:54:38,LONG,False,False,FUM
POLUSDT,50465575,1273966140,BUY,0.3019500,122,0,36.8379000,0.00736758,USDT,09-02-2025 21:24:49,LONG,True,True,FUM
POLUSDT,50470069,1274854822,SELL,0.2994200,16,-0.04048000,4.7907200,0.00239536,USDT,09-02-2025 21:36:06,LONG,False,False,FUM
POLUSDT,50470070,1274854822,SELL,0.2994200,34,-0.08602000,10.1802800,0.00509014,USDT,09-02-2025 21:36:06,LONG,False,False,FUM
POLUSDT,50470071,1274854822,SELL,0.2994100,63,-0.16002000,18.8628300,0.00943141,USDT,09-02-2025 21:36:06,LONG,False,False,FUM
POLUSDT,50470072,1274854822,SELL,0.2994100,9,-0.02286000,2.6946900,0.00134734,USDT,09-02-2025 21:36:06,LONG,False,False,FUM
POLUSDT,50470495,1274958221,BUY,0.3001900,122,0,36.6231800,0.00732463,USDT,09-02-2025 21:36:36,LONG,True,True,FUM
POLUSDT,50473035,1274958285,SELL,0.2976100,53,-0.13674000,15.7733300,0.00788666,USDT,09-02-2025 21:39:49,LONG,False,False,FUM
POLUSDT,50473036,1274958285,SELL,0.2976100,69,-0.17802000,20.5350900,0.01026754,USDT,09-02-2025 21:39:49,LONG,False,False,FUM
POLUSDT,50487239,1275231612,BUY,0.2934700,41,0,12.0322700,0.00601613,USDT,09-02-2025 21:54:18,LONG,True,False,FUM
POLUSDT,50487240,1275231612,BUY,0.2934800,35,0,10.2718000,0.00513589,USDT,09-02-2025 21:54:18,LONG,True,False,FUM
POLUSDT,50487241,1275231612,BUY,0.2934900,53,0,15.5549700,0.00777748,USDT,09-02-2025 21:54:18,LONG,True,False,FUM
POLUSDT,50493399,1275359483,SELL,0.2937600,98,0.02734883,28.7884800,0.01439424,USDT,09-02-2025 22:01:52,LONG,False,False,FUM
POLUSDT,50493400,1275359483,SELL,0.2937600,31,0.00865116,9.1065600,0.00455328,USDT,09-02-2025 22:01:52,LONG,False,False,FUM
POLUSDT,50497460,1275432160,BUY,0.2923700,129,0,37.7157300,0.01885786,USDT,09-02-2025 22:05:51,LONG,False,True,FUM
POLUSDT,50508197,1275432164,SELL,0.3000000,129,0.98427000,38.7000000,0.01935000,USDT,09-02-2025 22:41:30,LONG,False,False,FUM
POLUSDT,50938222,1273949171,SELL,0.3182700,119,0,37.8741300,0.00757482,USDT,11-02-2025 04:46:23,SHORT,True,False,FUM
POLUSDT,50943462,1288110418,BUY,0.3210400,119,-0.32963000,38.2037600,0.01910188,USDT,11-02-2025 04:59:11,SHORT,False,True,FUM
POLUSDT,53619366,1295961395,BUY,0.2916500,129,0,37.6228500,0.00752457,USDT,18-02-2025 16:48:07,LONG,True,True,FUM
POLUSDT,53713853,1364042822,SELL,0.2962800,115,0.53245000,34.0722000,0.01703609,USDT,18-02-2025 21:16:57,LONG,False,False,FUM
POLUSDT,53713854,1364042822,SELL,0.2962800,14,0.06482000,4.1479200,0.00207396,USDT,18-02-2025 21:16:57,LONG,False,False,FUM
POLUSDT,55459308,1366346245,BUY,0.2830400,129,0,36.5121600,0.00730243,USDT,24-02-2025 04:30:44,LONG,True,True,FUM
POLUSDT,55567954,1409788240,SELL,0.2804700,129,-0.33153000,36.1806300,0.01809031,USDT,24-02-2025 10:34:04,LONG,False,False,FUM
POLUSDT,57872817,1440826589,BUY,0.2583700,136,0,35.1383200,0.00702766,USDT,28-02-2025 04:04:39,LONG,True,True,FUM
POLUSDT,57901819,1466915254,SELL,0.2592400,136,0.11832000,35.2566400,0.01762832,USDT,28-02-2025 04:43:38,LONG,False,False,FUM
POLUSDT,58935900,1440825779,SELL,0.3070600,119,0,36.5401400,0.00730802,USDT,02-03-2025 17:31:12,SHORT,True,False,FUM
POLUSDT,58941098,1494646902,BUY,0.3080500,119,-0.11781000,36.6579500,0.01832897,USDT,02-03-2025 17:41:51,SHORT,False,True,FUM
POLUSDT,59375533,1498501861,BUY,0.2764300,136,0,37.5944800,0.00751889,USDT,03-03-2025 14:56:32,LONG,True,True,FUM
POLUSDT,59382754,1505940888,SELL,0.2734900,136,-0.39984000,37.1946400,0.01859732,USDT,03-03-2025 14:59:36,LONG,False,False,FUM
POLUSDT,63808510,1626338520,BUY,0.2070700,242,0,50.1109400,0.01002218,USDT,16-03-2025 19:17:01,LONG,True,True,FUM
POLUSDT,63814553,1632735279,SELL,0.2071000,40,0.00119999,8.2840000,0.00414200,USDT,16-03-2025 19:34:26,LONG,False,False,FUM
POLUSDT,63814554,1632735279,SELL,0.2071000,202,0.00605999,41.8342000,0.02091710,USDT,16-03-2025 19:34:26,LONG,False,False,FUM
POLUSDT,64785296,1659787510,BUY,0.2059100,242,0,49.8302200,0.00996604,USDT,21-03-2025 10:31:53,LONG,True,True,FUM
POLUSDT,64804404,1663628420,SELL,0.2042400,242,-0.40414000,49.4260800,0.02471304,USDT,21-03-2025 12:41:25,LONG,False,False,FUM
POLUSDT,65210289,1674190374,SELL,0.2151200,232,0,49.9078400,0.00998156,USDT,24-03-2025 04:51:49,SHORT,True,False,FUM
POLUSDT,65218686,1675965441,BUY,0.2168600,103,-0.17922000,22.3365800,0.01116829,USDT,24-03-2025 05:36:30,SHORT,True,False,FUM
POLUSDT,65218687,1675965441,BUY,0.2168700,97,-0.16975000,21.0363900,0.01051819,USDT,24-03-2025 05:36:30,SHORT,True,False,FUM
POLUSDT,65218688,1675965441,BUY,0.2168700,32,-0.05600000,6.9398400,0.00346992,USDT,24-03-2025 05:36:30,SHORT,True,False,FUM
POLUSDT,65622004,1686363788,SELL,0.2339800,160,0,37.4368000,0.00748736,USDT,26-03-2025 01:53:52,SHORT,False,True,FUM
POLUSDT,65629455,1687543497,BUY,0.2316500,80,0.18640000,18.5320000,0.00370640,USDT,26-03-2025 02:34:56,SHORT,True,True,FUM
POLUSDT,65631874,1687646978,BUY,0.2312000,80,0.22240000,18.4960000,0.00924799,USDT,26-03-2025 02:47:38,SHORT,False,True,FUM
POLUSDT,66128383,1700482179,BUY,0.2277700,163,0,37.1265100,0.00742530,USDT,28-03-2025 00:12:02,LONG,True,True,FUM
POLUSDT,66135996,1701305710,SELL,0.2256900,163,-0.33904000,36.7874700,0.01839373,USDT,28-03-2025 00:36:08,LONG,False,False,FUM
POLUSDT,66197959,1702912825,BUY,0.2175700,168,0,36.5517600,0.00731035,USDT,28-03-2025 05:18:29,LONG,True,True,FUM
POLUSDT,66213637,1702919739,SELL,0.2157200,168,-0.31080000,36.2409600,0.01812048,USDT,28-03-2025 05:58:51,LONG,False,False,FUM
POLUSDT,66213943,1703225725,BUY,0.2158600,168,0,36.2644800,0.01813224,USDT,28-03-2025 05:59:38,LONG,True,False,FUM
POLUSDT,66232327,1703225750,SELL,0.2142500,168,-0.27048000,35.9940000,0.01799700,USDT,28-03-2025 07:13:35,LONG,False,False,FUM
POLUSDT,66233396,1703766865,BUY,0.2146200,77,0,16.5257400,0.00826287,USDT,28-03-2025 07:19:32,LONG,True,False,FUM
POLUSDT,66233397,1703766865,BUY,0.2146300,47,0,10.0876100,0.00504380,USDT,28-03-2025 07:19:32,LONG,True,False,FUM
POLUSDT,66233398,1703766865,BUY,0.2146400,62,0,13.3076800,0.00665384,USDT,28-03-2025 07:19:32,LONG,True,False,FUM
POLUSDT,66258419,1703766892,SELL,0.2131100,186,-0.28257000,39.6384600,0.01981923,USDT,28-03-2025 09:13:21,LONG,False,False,FUM
POLUSDT,66263166,1704512469,BUY,0.2135600,186,0,39.7221600,0.01986108,USDT,28-03-2025 09:42:56,LONG,True,False,FUM
POLUSDT,66271718,1704512474,SELL,0.2121000,186,-0.27156000,39.4506000,0.01972530,USDT,28-03-2025 10:58:14,LONG,False,False,FUM
POLUSDT,66638874,1716490207,BUY,0.2068200,113,0,23.3706600,0.01168533,USDT,30-03-2025 02:43:23,LONG,True,False,FUM
POLUSDT,66640579,1716564268,BUY,0.2057000,113,0,23.2441000,0.01162205,USDT,30-03-2025 02:59:32,LONG,False,True,FUM
POLUSDT,66644095,1716567879,SELL,0.2047900,27,-0.03969000,5.5293300,0.00276466,USDT,30-03-2025 03:41:15,LONG,False,False,FUM
POLUSDT,66644096,1716567879,SELL,0.2047900,86,-0.12642000,17.6119400,0.00880597,USDT,30-03-2025 03:41:15,LONG,False,False,FUM
POLUSDT,66644569,1716738100,BUY,0.2049200,81,0,16.5985200,0.00829925,USDT,30-03-2025 03:43:14,LONG,False,True,FUM
POLUSDT,66644570,1716738100,BUY,0.2049300,41,0,8.4021300,0.00420106,USDT,30-03-2025 03:43:14,LONG,False,True,FUM
POLUSDT,66644571,1716738100,BUY,0.2049300,20,0,4.0986000,0.00204930,USDT,30-03-2025 03:43:14,LONG,False,True,FUM
POLUSDT,66645947,1716738123,SELL,0.2041700,142,-0.19115984,28.9921400,0.01449607,USDT,30-03-2025 03:55:48,LONG,False,False,FUM
POLUSDT,66646044,1716691917,SELL,0.2040900,113,-0.16116015,23.0621700,0.01153108,USDT,30-03-2025 03:56:29,LONG,False,False,FUM
POLUSDT,66646728,1716817852,BUY,0.2046600,197,0,40.3180200,0.02015901,USDT,30-03-2025 04:03:34,LONG,False,True,FUM
POLUSDT,66652727,1717014565,SELL,0.2060600,197,0.27580000,40.5938200,0.02029691,USDT,30-03-2025 05:02:28,LONG,False,False,FUM
POLUSDT,67287659,1720246086,BUY,0.1948900,192,0,37.4188800,0.00748377,USDT,02-04-2025 02:14:15,LONG,True,True,FUM
POLUSDT,67298654,1737274621,SELL,0.1965000,95,0.15295000,18.6675000,0.00933375,USDT,02-04-2025 03:05:08,LONG,False,False,FUM
POLUSDT,67298655,1737274621,SELL,0.1965000,1,0.00161000,0.1965000,0.00009825,USDT,02-04-2025 03:05:08,LONG,False,False,FUM
POLUSDT,67321884,1737275903,SELL,0.1953500,96,0.04416000,18.7536000,0.00937679,USDT,02-04-2025 05:53:36,LONG,False,False,FUM
POLUSDT,71601211,1825074051,SELL,0.1977600,188,0,37.1788800,0.00743577,USDT,21-04-2025 10:42:32,SHORT,True,False,FUM
POLUSDT,71634043,1874773479,BUY,0.1994000,165,-0.27060000,32.9010000,0.01645050,USDT,21-04-2025 14:04:58,SHORT,False,True,FUM
POLUSDT,71634044,1874773479,BUY,0.1994000,23,-0.03772000,4.5862000,0.00229310,USDT,21-04-2025 14:04:58,SHORT,False,True,FUM
POLUSDT,71876150,1871437231,SELL,0.2110100,176,0,37.1377600,0.00742755,USDT,22-04-2025 06:58:34,SHORT,True,False,FUM
POLUSDT,71891553,1881215418,BUY,0.2127500,176,-0.30624000,37.4440000,0.01872200,USDT,22-04-2025 07:24:07,SHORT,False,True,FUM
POLUSDT,73033431,1891156574,SELL,0.2457700,154,0,37.8485800,0.00756971,USDT,24-04-2025 12:41:11,SHORT,True,False,FUM
POLUSDT,73049598,1903299217,BUY,0.2476800,154,-0.29414000,38.1427200,0.01907136,USDT,24-04-2025 12:45:04,SHORT,False,True,FUM
POLUSDT,74836389,1925307749,BUY,0.2344600,200,0,46.8920000,0.00937840,USDT,28-04-2025 00:09:53,LONG,True,True,FUM
POLUSDT,74868648,1932915833,SELL,0.2321800,43,-0.09804000,9.9837400,0.00499187,USDT,28-04-2025 01:34:51,LONG,False,False,FUM
POLUSDT,74868649,1932915833,SELL,0.2321800,157,-0.35796000,36.4522600,0.01822613,USDT,28-04-2025 01:34:51,LONG,False,False,FUM
POLUSDT,77042524,1954774231,BUY,0.2175600,171,0,37.2027600,0.00744055,USDT,06-05-2025 09:43:55,LONG,True,True,FUM
POLUSDT,77067104,1986043617,SELL,0.2156000,171,-0.33516000,36.8676000,0.01843380,USDT,06-05-2025 11:51:58,LONG,False,False,FUM
POLUSDT,84333658,2100971958,BUY,0.2058400,144,0,29.6409600,0.00592819,USDT,30-05-2025 23:17:49,LONG,True,True,FUM
POLUSDT,84363863,2201329971,SELL,0.2036300,144,-0.31824000,29.3227200,0.01466136,USDT,31-05-2025 00:16:17,LONG,False,False,FUM
