symbol,id,orderId,side,price,qty,realizedPnl,quoteQty,commission,commissionAsset,time,positionSide,maker,buyer,Market
XRPUSDT,1618117490,67267281933,BUY,0.5222,96.1,0,50.18342,0.01003668,USDT,08-10-2024 15:29:54,LONG,True,True,FUM
XRPUSDT,1618135716,67387629915,SELL,0.5234,96.1,0.11532000,50.29874,0.02514937,USDT,08-10-2024 15:43:06,LONG,False,False,FUM
XRPUSDT,1619158837,67482157962,SELL,0.5377,92.5,0,49.73725,0.00994745,USDT,10-10-2024 12:57:02,SHORT,False,True,FUM
XRPUSDT,1619193911,67533998412,BUY,0.5436,92.5,-0.54575000,50.28300,0.02514150,USDT,10-10-2024 13:07:52,SHORT,True,False,FUM
XRPUSDT,1619729082,67578331552,SELL,0.5327,227.2,0,121.02944,0.06051472,USDT,11-10-2024 00:47:50,SHORT,False,False,FUM
XRPUSDT,1619740459,67578331577,BUY,0.5347,227.2,-0.45440000,121.48384,0.06074192,USDT,11-10-2024 01:05:52,SHORT,True,False,FUM
XRPUSDT,1619742127,67579446707,SELL,0.5344,153.8,0,82.19072,0.04109535,USDT,11-10-2024 01:08:20,SHORT,False,False,FUM
XRPUSDT,1620103915,67629266544,SELL,0.5375,76.9,0,41.33375,0.02066687,USDT,11-10-2024 16:42:11,SHORT,False,False,FUM
XRPUSDT,1620135638,67633440044,BUY,0.5402,230.7,-1.09967000,124.62414,0.06231207,USDT,11-10-2024 18:03:12,SHORT,True,False,FUM
XRPUSDT,1620135643,67633440720,BUY,0.5402,230.7,0,124.62414,0.06231207,USDT,11-10-2024 18:03:13,LONG,True,False,FUM
XRPUSDT,1620171277,67637781955,SELL,0.5407,3,0.00150000,1.62210,0.00081105,USDT,11-10-2024 19:31:43,LONG,False,False,FUM
XRPUSDT,1620171278,67637781955,SELL,0.5407,9.9,0.00495000,5.35293,0.00267646,USDT,11-10-2024 19:31:43,LONG,False,False,FUM
XRPUSDT,1620171279,67637781955,SELL,0.5407,217.8,0.10890000,117.76446,0.05888223,USDT,11-10-2024 19:31:43,LONG,False,False,FUM
XRPUSDT,1620172820,67638410465,BUY,0.5400,416.6,0,224.96400,0.11248200,USDT,11-10-2024 19:33:09,LONG,True,False,FUM
XRPUSDT,1620208328,67645672772,SELL,0.5396,416.6,-0.16664000,224.79736,0.11239868,USDT,11-10-2024 21:59:39,LONG,False,False,FUM
XRPUSDT,1620208329,67645672981,SELL,0.5396,416.6,0,224.79736,0.11239868,USDT,11-10-2024 21:59:40,SHORT,False,False,FUM
XRPUSDT,1620230144,67649713098,BUY,0.5399,416.6,-0.12498000,224.92234,0.11246117,USDT,11-10-2024 23:16:15,SHORT,True,False,FUM
XRPUSDT,1620879835,67715425425,BUY,0.5311,94.3,0,50.08273,0.01001654,USDT,13-10-2024 10:59:58,LONG,True,True,FUM
XRPUSDT,1620971596,67760250127,SELL,0.5257,94.3,-0.50922000,49.57351,0.02478675,USDT,13-10-2024 15:18:44,LONG,False,False,FUM
XRPUSDT,1621107537,67787267499,SELL,0.5316,94.3,0,50.12988,0.01002597,USDT,13-10-2024 23:03:23,SHORT,False,True,FUM
XRPUSDT,1621164936,67810173773,BUY,0.5300,94.3,0.15088000,49.97900,0.02498950,USDT,14-10-2024 02:54:44,SHORT,True,False,FUM
XRPUSDT,1621430017,67787295989,SELL,0.5418,92.5,0,50.11650,0.01002330,USDT,14-10-2024 14:01:03,SHORT,False,True,FUM
XRPUSDT,1621511441,67846067631,BUY,0.5482,92.5,-0.59200000,50.70850,0.02535425,USDT,14-10-2024 15:35:00,SHORT,True,False,FUM
XRPUSDT,1623373127,67989213972,SELL,0.5644,89.2,0,50.34448,0.01006889,USDT,17-10-2024 05:10:03,SHORT,False,True,FUM
XRPUSDT,1623399370,68054871384,BUY,0.5587,89.2,0.50844000,49.83604,0.02491802,USDT,17-10-2024 05:18:04,SHORT,True,False,FUM
XRPUSDT,1624362084,68112166506,SELL,0.5491,90.9,0,49.91319,0.00998263,USDT,18-10-2024 07:03:37,SHORT,False,True,FUM
XRPUSDT,1624522408,68144986216,BUY,0.5435,90.9,0.50904000,49.40415,0.02470207,USDT,18-10-2024 12:54:28,SHORT,True,False,FUM
XRPUSDT,1626590967,68253652682,BUY,0.5301,94.3,0,49.98843,0.00999768,USDT,22-10-2024 09:22:04,LONG,True,True,FUM
XRPUSDT,1626642771,68459636211,SELL,0.5353,94.3,0.49036000,50.47879,0.02523939,USDT,22-10-2024 10:25:41,LONG,False,False,FUM
XRPUSDT,1631436570,69027070612,BUY,0.5170,104.1,0,53.81970,0.01076394,USDT,31-10-2024 07:02:15,LONG,True,True,FUM
XRPUSDT,1631593172,69182214116,SELL,0.5122,104.1,-0.49968000,53.32002,0.02666001,USDT,31-10-2024 14:02:37,LONG,False,False,FUM
XRPUSDT,1632715956,69262873186,BUY,0.5091,96.7,0,49.22997,0.00984599,USDT,01-11-2024 21:25:43,LONG,True,True,FUM
XRPUSDT,1632787395,69330701963,SELL,0.5153,48.3,0.29946000,24.88899,0.01244449,USDT,02-11-2024 00:42:57,LONG,False,False,FUM
XRPUSDT,1632789745,69330990252,SELL,0.5151,20.5,0.12300000,10.55955,0.00527977,USDT,02-11-2024 00:53:21,LONG,False,False,FUM
XRPUSDT,1632789746,69330990252,SELL,0.5151,14,0.08400000,7.21140,0.00360570,USDT,02-11-2024 00:53:21,LONG,False,False,FUM
XRPUSDT,1632789747,69330990252,SELL,0.5151,13.9,0.08340000,7.15989,0.00357994,USDT,02-11-2024 00:53:21,LONG,False,False,FUM
XRPUSDT,1634099321,69483728977,SELL,0.5099,96.7,0,49.30733,0.00986146,USDT,04-11-2024 09:53:56,SHORT,False,True,FUM
XRPUSDT,1634112273,69521224009,BUY,0.5130,96.7,-0.29977000,49.60710,0.02480355,USDT,04-11-2024 10:06:20,SHORT,True,False,FUM
XRPUSDT,1643351721,70157310824,SELL,0.6481,76.9,0,49.83889,0.00996777,USDT,12-11-2024 08:27:41,SHORT,False,True,FUM
XRPUSDT,1643422057,70193879292,BUY,0.6526,76.9,-0.34605000,50.18494,0.02509247,USDT,12-11-2024 08:34:24,SHORT,True,False,FUM
XRPUSDT,1643578939,70156984710,SELL,0.6692,75,0,50.19000,0.01003800,USDT,12-11-2024 08:50:27,SHORT,False,True,FUM
XRPUSDT,1643587810,70196541141,BUY,0.6747,75,-0.41250000,50.60250,0.02530125,USDT,12-11-2024 08:51:05,SHORT,True,False,FUM
XRPUSDT,1969369855,79895295134,SELL,2.5668,17.3,0,44.40564,0.00888112,USDT,11-01-2025 20:38:25,SHORT,False,True,FUM
XRPUSDT,1969427929,81395689443,BUY,2.5837,17.3,-0.29237000,44.69801,0.02234900,USDT,11-01-2025 20:45:19,SHORT,True,False,FUM
XRPUSDT,2045084170,84297955459,BUY,2.7515,13.8,0,37.97070,0.00759414,USDT,27-01-2025 07:20:52,LONG,True,True,FUM
XRPUSDT,2045143404,84325950125,SELL,2.7592,8.6,0.06622000,23.72912,0.01186456,USDT,27-01-2025 07:21:54,LONG,False,False,FUM
XRPUSDT,2045143405,84325950125,SELL,2.7592,5.2,0.04004000,14.34784,0.00717392,USDT,27-01-2025 07:21:54,LONG,False,False,FUM
XRPUSDT,2107306817,86805788777,BUY,2.3299,20.9,0,48.69491,0.00973898,USDT,09-02-2025 21:45:34,LONG,True,True,FUM
XRPUSDT,2107351473,86810529578,SELL,2.3147,20.9,-0.31768000,48.37723,0.02418861,USDT,09-02-2025 21:49:30,LONG,False,False,FUM
XRPUSDT,2107394666,86812198193,BUY,2.3218,20.9,0,48.52562,0.02426281,USDT,09-02-2025 21:54:52,LONG,True,False,FUM
XRPUSDT,2107431299,86813049571,SELL,2.3273,20.9,0.11495000,48.64057,0.02432028,USDT,09-02-2025 22:00:26,LONG,False,False,FUM
XRPUSDT,2107460661,86813892575,BUY,2.3252,20.9,0,48.59668,0.00971933,USDT,09-02-2025 22:04:42,LONG,True,True,FUM
XRPUSDT,2107564597,86817467794,SELL,2.3533,20.9,0.58729000,49.18397,0.02459198,USDT,09-02-2025 22:31:10,LONG,False,False,FUM
XRPUSDT,2117439506,87400559240,SELL,2.5535,14.5,0,37.02575,0.00740515,USDT,13-02-2025 22:10:31,SHORT,False,True,FUM
XRPUSDT,2117538745,87404091198,BUY,2.5746,14.5,-0.30595000,37.33170,0.01866585,USDT,13-02-2025 22:21:13,SHORT,False,True,FUM
XRPUSDT,2118956050,87135161970,SELL,2.6797,13.8,0,36.97986,0.00739597,USDT,14-02-2025 08:25:17,SHORT,False,True,FUM
XRPUSDT,2118970254,87477584320,BUY,2.7078,13.8,-0.38778000,37.36764,0.01868382,USDT,14-02-2025 08:25:39,SHORT,True,False,FUM
XRPUSDT,2142624226,88868983905,BUY,2.4758,16.2,0,40.10796,0.00802159,USDT,24-02-2025 03:33:06,LONG,True,True,FUM
XRPUSDT,2142816822,89146978665,SELL,2.4566,16.2,-0.31104000,39.79692,0.01989846,USDT,24-02-2025 04:30:41,LONG,False,False,FUM
XRPUSDT,2144980320,87400452643,BUY,2.2962,16.2,0,37.19844,0.00743968,USDT,24-02-2025 22:02:57,LONG,True,True,FUM
XRPUSDT,2145122064,89288807651,SELL,2.2754,16.2,-0.33696000,36.86148,0.01843074,USDT,24-02-2025 22:10:21,LONG,False,False,FUM
XRPUSDT,2167318857,90298971827,SELL,2.5613,17.6,0,45.07888,0.00901577,USDT,02-03-2025 15:38:07,SHORT,False,True,FUM
XRPUSDT,2167326586,90379216635,BUY,2.5797,17.6,-0.32384000,45.40272,0.02270136,USDT,02-03-2025 15:38:16,SHORT,True,False,FUM
XRPUSDT,2244884170,94547207765,BUY,2.3694,15.7,0,37.19958,0.00743991,USDT,26-03-2025 18:58:02,LONG,True,True,FUM
XRPUSDT,2244969400,94677049617,SELL,2.3823,7.8,0.10062000,18.58194,0.00371638,USDT,26-03-2025 19:50:00,LONG,False,True,FUM
XRPUSDT,2244975974,94678463694,SELL,2.3722,7.9,0.02212000,18.74038,0.00937019,USDT,26-03-2025 19:53:42,LONG,False,False,FUM
XRPUSDT,2249958588,94926677806,BUY,2.0888,16.6,0,34.67408,0.00693481,USDT,29-03-2025 09:44:47,LONG,True,True,FUM
XRPUSDT,2250153538,95102963817,SELL,2.0700,16.6,-0.31208000,34.36200,0.01718099,USDT,29-03-2025 10:58:40,LONG,False,False,FUM
XRPUSDT,2251706786,95229050373,BUY,2.1750,9.8,0,21.31500,0.01065750,USDT,30-03-2025 02:12:28,LONG,False,True,FUM
XRPUSDT,2251813066,95237631310,SELL,2.1944,2.4,0.04656000,5.26656,0.00263328,USDT,30-03-2025 03:09:35,LONG,False,False,FUM
XRPUSDT,2251936135,95242117279,SELL,2.1785,7.4,0.02590000,16.12090,0.00806045,USDT,30-03-2025 03:58:12,LONG,False,False,FUM
XRPUSDT,2251944633,95245820447,BUY,2.1845,20.8,0,45.43760,0.02271880,USDT,30-03-2025 04:02:03,LONG,True,False,FUM
XRPUSDT,2252023186,95253833660,SELL,2.1743,20.8,-0.21216000,45.22544,0.02261272,USDT,30-03-2025 05:02:46,LONG,False,False,FUM
XRPUSDT,2261704622,95357785675,BUY,1.9937,16.6,0,33.09542,0.00661908,USDT,02-04-2025 22:43:52,LONG,True,True,FUM
XRPUSDT,2262095473,95968210526,SELL,2.0418,16.6,0.79846000,33.89388,0.01694694,USDT,03-04-2025 00:19:14,LONG,False,False,FUM
XRPUSDT,2352869871,99915897821,SELL,2.5408,14.5,0,36.84160,0.00736832,USDT,12-05-2025 12:23:42,SHORT,True,False,FUM
XRPUSDT,2353023464,102960339097,BUY,2.5626,14.5,-0.31610000,37.15770,0.01857885,USDT,12-05-2025 12:36:45,SHORT,False,True,FUM
XRPUSDT,2611725090,117092241099,BUY,2.9060,25,0,72.65000,0.01453000,USDT,19-08-2025 17:04:49,LONG,True,True,FUM
XRPUSDT,2611917287,117111408166,SELL,2.8993,25,-0.16750000,72.48250,0.03624125,USDT,19-08-2025 18:49:59,LONG,False,False,FUM
