UID,Order No.,Time(UTC+8),Pair,Type,Price,Amount,Order Value,Fee,Fee Coin,Order Type
25657330,1934683356243329025,2025-06-17 6:44:47,BTC/USDT,Sell,107500,0.000031,3.3325,-0.00333,USDT,Autonomous Orders
25657330,1929675307371888640,2025-06-06 2:17:02,BTC/USDT,Buy,102608,0.000031,3.180848,0.00000,BTC,Autonomous Orders
25657330,1910727422114693120,2025-04-12 0:11:31,BTC/USDT,Sell,82363.97,0.000039,3.21219483,-0.00321,USDT,Autonomous Orders
25657330,1907816008769241088,2025-04-03 23:22:36,BTC/USDT,Buy,81663.22,0.000039,3.18486558,0.00000,BTC,Autonomous Orders
25657330,1906436275930300417,2025-03-31 8:41:31,BTC/USDT,Sell,81412,0.000040,3.25648,-0.00326,USDT,Autonomous Orders
25657330,1906080507632713728,2025-03-30 4:26:21,BTC/USDT,Buy,82641.42,0.000040,3.3056568,0.00000,BTC,Autonomous Orders
25657330,1904073248551632896,2025-03-24 15:30:13,BTC/USDT,Sell,86941.86,0.000038,3.30379068,-0.00330,USDT,Autonomous Orders
25657330,1896750657646264320,2025-03-04 10:32:51,BTC/USDT,Buy,83259.44,0.000039,3.24711816,0.00000,BTC,Autonomous Orders
25657330,1843756120498143232,2024-10-09 4:51:29,BTC/USDT,Buy,62353.48,0.000048,2.999202,0.00000,BTC,Autonomous Orders
25657330,1843756937062023168,2024-10-09 4:54:44,BTC/USDT,Sell,62340.37,0.000048,2.992338,-0.00299,USDT,Autonomous Orders
25657330,1853988970472308736,2024-11-06 10:33:14,SOL/USDT,Sell,178.15,0.057000,10.15455,-0.01015,USDT,Autonomous Orders